Date,Meal,Canteen_Section,Food_Category,Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss,Day_of_Week,Day_Num,Is_Weekend,Month,Day,Day_of_Year,temperature,rainfall,holiday,special_event,expected_attendance,actual_attendance,meals_prepared,meals_consumed,surplus_meals,surplus_percentage,previous_day_consumption
2025-06-11,Breakfast,D,Vegetables,4.09,3.0,12.27,Wednesday,2,0,6,11,162,28.5,0.0,0,0,245,258,268,236,32,11.94,247
2025-06-11,Dinner,A,Meat,4.65,8.0,37.2,Wednesday,2,0,6,11,162,28.5,0.0,0,0,451,437,502,418,84,16.73,369
2025-06-11,Dinner,A,Rice,2.79,2.0,5.58,Wednesday,2,0,6,11,162,28.5,0.0,0,0,467,466,519,439,80,15.41,335
2025-06-11,Dinner,A,Soup,3.52,1.5,5.28,Wednesday,2,0,6,11,162,28.5,0.0,0,0,480,514,547,466,81,14.81,368
2025-06-11,Dinner,B,Meat,4.87,8.0,38.96,Wednesday,2,0,6,11,162,28.5,0.0,0,0,412,383,443,369,74,16.7,350
2025-06-11,Dinner,B,Rice,0.69,2.0,1.38,Wednesday,2,0,6,11,162,28.5,0.0,0,0,422,416,458,404,54,11.79,322
2025-06-11,Dinner,B,Soup,1.27,1.5,1.9,Wednesday,2,0,6,11,162,28.5,0.0,0,0,394,426,439,384,55,12.53,286
2025-06-11,Dinner,B,Vegetables,3.08,3.0,9.24,Wednesday,2,0,6,11,162,28.5,0.0,0,0,401,411,436,375,61,13.99,307
2025-06-11,Dinner,C,Meat,2.8,8.0,22.4,Wednesday,2,0,6,11,162,28.5,0.0,0,0,330,343,360,338,22,6.11,418
2025-06-11,Dinner,C,Rice,0.88,2.0,1.76,Wednesday,2,0,6,11,162,28.5,0.0,0,0,355,339,381,322,59,15.49,391
2025-06-11,Dinner,C,Soup,0.56,1.5,0.84,Wednesday,2,0,6,11,162,28.5,0.0,0,0,322,318,363,286,77,21.21,319
2025-06-11,Dinner,C,Vegetables,2.81,3.0,8.43,Wednesday,2,0,6,11,162,28.5,0.0,0,0,331,329,373,307,66,17.69,319
2025-06-11,Dinner,D,Meat,4.57,8.0,36.56,Wednesday,2,0,6,11,162,28.5,0.0,0,0,373,368,405,350,55,13.58,334
2025-06-11,Dinner,D,Rice,4.96,2.0,9.92,Wednesday,2,0,6,11,162,28.5,0.0,0,0,416,415,452,391,61,13.5,439
2025-06-11,Dinner,D,Soup,0.68,1.5,1.02,Wednesday,2,0,6,11,162,28.5,0.0,0,0,380,410,414,368,46,11.11,384
2025-06-11,Dinner,D,Vegetables,2.36,3.0,7.08,Wednesday,2,0,6,11,162,28.5,0.0,0,0,361,360,389,333,56,14.4,375
2025-06-11,Lunch,A,Meat,1.64,8.0,13.12,Wednesday,2,0,6,11,162,28.5,0.0,0,0,717,685,776,663,113,14.56,461
2025-06-11,Lunch,A,Soup,4.85,1.5,7.28,Wednesday,2,0,6,11,162,28.5,0.0,0,0,720,743,817,662,155,18.97,535
2025-06-11,Lunch,A,Vegetables,1.68,3.0,5.04,Wednesday,2,0,6,11,162,28.5,0.0,0,0,606,576,655,528,127,19.39,523
2025-06-11,Lunch,B,Rice,2.08,2.0,4.16,Wednesday,2,0,6,11,162,28.5,0.0,0,0,638,637,715,610,105,14.69,507
2025-06-11,Lunch,B,Soup,3.32,1.5,4.98,Wednesday,2,0,6,11,162,28.5,0.0,0,0,660,662,726,612,114,15.7,477
2025-06-11,Lunch,B,Vegetables,4.94,3.0,14.82,Wednesday,2,0,6,11,162,28.5,0.0,0,0,642,680,716,628,88,12.29,478
2025-06-11,Lunch,C,Meat,2.12,8.0,16.96,Wednesday,2,0,6,11,162,28.5,0.0,0,0,510,471,564,461,103,18.26,516
2025-06-11,Lunch,C,Rice,2.76,2.0,5.52,Wednesday,2,0,6,11,162,28.5,0.0,0,0,543,567,615,538,77,12.52,583
2025-06-11,Lunch,C,Soup,1.87,1.5,2.8,Wednesday,2,0,6,11,162,28.5,0.0,0,0,541,576,580,535,45,7.76,513
2025-06-11,Lunch,C,Vegetables,1.02,3.0,3.06,Wednesday,2,0,6,11,162,28.5,0.0,0,0,479,519,525,478,47,8.95,528
2025-06-11,Lunch,D,Meat,3.16,8.0,25.28,Wednesday,2,0,6,11,162,28.5,0.0,0,0,559,529,616,516,100,16.23,515
2025-06-11,Lunch,D,Rice,3.81,2.0,7.62,Wednesday,2,0,6,11,162,28.5,0.0,0,0,613,614,680,583,97,14.26,610
2025-06-11,Lunch,D,Soup,1.1,1.5,1.65,Wednesday,2,0,6,11,162,28.5,0.0,0,0,595,575,643,513,130,20.22,612
2025-06-11,Lunch,D,Vegetables,3.82,3.0,11.46,Wednesday,2,0,6,11,162,28.5,0.0,0,0,570,551,613,523,90,14.68,485
2025-06-12,Breakfast,A,Meat,2.54,8.0,20.32,Thursday,3,0,6,12,163,27.3,0.8,0,0,271,269,297,259,38,12.79,227
2025-06-12,Breakfast,A,Rice,4.18,2.0,8.36,Thursday,3,0,6,12,163,27.3,0.8,0,0,290,262,330,248,82,24.85,234
2025-06-12,Breakfast,A,Soup,2.59,1.5,3.88,Thursday,3,0,6,12,163,27.3,0.8,0,0,267,263,296,242,54,18.24,195
2025-06-12,Breakfast,A,Vegetables,3.61,3.0,10.83,Thursday,3,0,6,12,163,27.3,0.8,0,0,267,278,302,259,43,14.24,218
2025-06-12,Breakfast,B,Meat,4.19,8.0,33.52,Thursday,3,0,6,12,163,27.3,0.8,0,0,288,272,322,264,58,18.01,220
2025-06-12,Breakfast,B,Rice,1.44,2.0,2.88,Thursday,3,0,6,12,163,27.3,0.8,0,0,290,290,330,276,54,16.36,248
2025-06-12,Breakfast,B,Soup,1.29,1.5,1.94,Thursday,3,0,6,12,163,27.3,0.8,0,0,248,245,282,222,60,21.28,209
2025-06-12,Breakfast,B,Vegetables,4.9,3.0,14.7,Thursday,3,0,6,12,163,27.3,0.8,0,0,271,266,302,251,51,16.89,219
2025-06-12,Breakfast,C,Meat,1.98,8.0,15.84,Thursday,3,0,6,12,163,27.3,0.8,0,0,228,230,249,227,22,8.84,219
2025-06-12,Breakfast,C,Rice,2.8,2.0,5.6,Thursday,3,0,6,12,163,27.3,0.8,0,0,242,248,264,234,30,11.36,261
2025-06-12,Breakfast,C,Soup,2.59,1.5,3.88,Thursday,3,0,6,12,163,27.3,0.8,0,0,222,225,251,209,42,16.73,186
2025-06-12,Breakfast,C,Vegetables,4.62,3.0,13.86,Thursday,3,0,6,12,163,27.3,0.8,0,0,222,232,240,219,21,8.75,236
2025-06-12,Breakfast,D,Meat,4.33,8.0,34.64,Thursday,3,0,6,12,163,27.3,0.8,0,0,240,229,259,220,39,15.06,259
2025-06-12,Breakfast,D,Rice,4.41,2.0,8.82,Thursday,3,0,6,12,163,27.3,0.8,0,0,236,261,261,249,12,4.6,276
2025-06-12,Breakfast,D,Soup,3.97,1.5,5.96,Thursday,3,0,6,12,163,27.3,0.8,0,0,214,203,231,186,45,19.48,242
2025-06-12,Breakfast,D,Vegetables,1.45,3.0,4.35,Thursday,3,0,6,12,163,27.3,0.8,0,0,251,232,284,218,66,23.24,251
2025-06-12,Dinner,A,Meat,3.52,8.0,28.16,Thursday,3,0,6,12,163,27.3,0.8,0,0,472,442,528,434,94,17.8,431
2025-06-12,Dinner,A,Rice,1.02,2.0,2.04,Thursday,3,0,6,12,163,27.3,0.8,0,0,522,525,569,510,59,10.37,404
2025-06-12,Dinner,A,Soup,1.24,1.5,1.86,Thursday,3,0,6,12,163,27.3,0.8,0,0,485,486,525,451,74,14.1,397
2025-06-12,Dinner,A,Vegetables,2.9,3.0,8.7,Thursday,3,0,6,12,163,27.3,0.8,0,0,442,440,493,410,83,16.84,362
2025-06-12,Dinner,B,Meat,0.31,8.0,2.48,Thursday,3,0,6,12,163,27.3,0.8,0,0,438,447,480,431,49,10.21,328
2025-06-12,Dinner,B,Rice,3.9,2.0,7.8,Thursday,3,0,6,12,163,27.3,0.8,0,0,428,438,483,413,70,14.49,510
2025-06-12,Dinner,B,Soup,3.56,1.5,5.34,Thursday,3,0,6,12,163,27.3,0.8,0,0,408,442,455,397,58,12.75,466
2025-06-12,Dinner,B,Vegetables,3.75,3.0,11.25,Thursday,3,0,6,12,163,27.3,0.8,0,0,461,489,501,457,44,8.78,333
2025-06-12,Dinner,C,Meat,1.99,8.0,15.92,Thursday,3,0,6,12,163,27.3,0.8,0,0,355,351,402,344,58,14.43,434
2025-06-12,Dinner,C,Rice,4.08,2.0,8.16,Thursday,3,0,6,12,163,27.3,0.8,0,0,361,362,402,346,56,13.93,413
2025-06-12,Dinner,C,Soup,4.12,1.5,6.18,Thursday,3,0,6,12,163,27.3,0.8,0,0,398,395,439,352,87,19.82,451
2025-06-12,Dinner,C,Vegetables,3.35,3.0,10.05,Thursday,3,0,6,12,163,27.3,0.8,0,0,307,310,343,285,58,16.91,410
2025-06-12,Dinner,D,Meat,2.53,8.0,20.24,Thursday,3,0,6,12,163,27.3,0.8,0,0,332,345,374,328,46,12.3,338
2025-06-12,Dinner,D,Rice,4.91,2.0,9.82,Thursday,3,0,6,12,163,27.3,0.8,0,0,390,381,435,369,66,15.17,346
2025-06-12,Dinner,D,Vegetables,0.28,3.0,0.84,Thursday,3,0,6,12,163,27.3,0.8,0,0,388,388,438,362,76,17.35,457
2025-06-12,Lunch,A,Meat,4.68,8.0,37.44,Thursday,3,0,6,12,163,27.3,0.8,0,0,745,668,836,636,200,23.92,587
2025-06-12,Lunch,A,Soup,4.12,1.5,6.18,Thursday,3,0,6,12,163,27.3,0.8,0,0,666,722,750,657,93,12.4,662
2025-06-12,Lunch,A,Vegetables,2.59,3.0,7.77,Thursday,3,0,6,12,163,27.3,0.8,0,0,725,722,784,673,111,14.16,450
2025-06-12,Lunch,B,Meat,1.56,8.0,12.48,Thursday,3,0,6,12,163,27.3,0.8,0,0,617,605,686,587,99,14.43,523
2025-06-12,Lunch,B,Rice,1.49,2.0,2.98,Thursday,3,0,6,12,163,27.3,0.8,0,0,684,685,774,646,128,16.54,501
2025-06-12,Lunch,B,Soup,4.99,1.5,7.48,Thursday,3,0,6,12,163,27.3,0.8,0,0,671,655,749,591,158,21.09,657
2025-06-12,Lunch,B,Vegetables,2.98,3.0,8.94,Thursday,3,0,6,12,163,27.3,0.8,0,0,734,757,797,692,105,13.17,628
2025-06-12,Lunch,C,Meat,0.83,8.0,6.64,Thursday,3,0,6,12,163,27.3,0.8,0,0,533,536,584,523,61,10.45,663
2025-06-12,Lunch,C,Rice,2.5,2.0,5.0,Thursday,3,0,6,12,163,27.3,0.8,0,0,509,524,559,501,58,10.38,507
2025-06-12,Lunch,C,Soup,1.79,1.5,2.68,Thursday,3,0,6,12,163,27.3,0.8,0,0,526,529,598,483,115,19.23,568
2025-06-12,Lunch,C,Vegetables,2.74,3.0,8.22,Thursday,3,0,6,12,163,27.3,0.8,0,0,484,478,540,450,90,16.67,582
2025-06-12,Lunch,D,Meat,2.76,8.0,22.08,Thursday,3,0,6,12,163,27.3,0.8,0,0,576,603,644,581,63,9.78,636
2025-06-12,Lunch,D,Rice,2.8,2.0,5.6,Thursday,3,0,6,12,163,27.3,0.8,0,0,549,534,618,507,111,17.96,538
2025-06-12,Lunch,D,Soup,1.68,1.5,2.52,Thursday,3,0,6,12,163,27.3,0.8,0,0,648,637,716,568,148,20.67,591
2025-06-12,Lunch,D,Vegetables,2.33,3.0,6.99,Thursday,3,0,6,12,163,27.3,0.8,0,0,607,622,652,582,70,10.74,692
2025-06-13,Breakfast,A,Meat,4.36,8.0,34.88,Friday,4,0,6,13,164,26.5,5.1,0,0,257,272,286,264,22,7.69,276
2025-06-13,Breakfast,A,Rice,2.99,2.0,5.98,Friday,4,0,6,13,164,26.5,5.1,0,0,290,296,322,284,38,11.8,229
2025-06-13,Breakfast,A,Soup,2.26,1.5,3.39,Friday,4,0,6,13,164,26.5,5.1,0,0,287,269,311,248,63,20.26,222
2025-06-13,Breakfast,B,Meat,2.34,8.0,18.72,Friday,4,0,6,13,164,26.5,5.1,0,0,304,279,341,276,65,19.06,173
2025-06-13,Breakfast,B,Rice,2.68,2.0,5.36,Friday,4,0,6,13,164,26.5,5.1,0,0,241,235,269,223,46,17.1,186
2025-06-13,Breakfast,B,Vegetables,3.64,3.0,10.92,Friday,4,0,6,13,164,26.5,5.1,0,0,276,267,313,245,68,21.73,259
2025-06-13,Breakfast,C,Meat,0.86,8.0,6.88,Friday,4,0,6,13,164,26.5,5.1,0,0,200,179,218,173,45,20.64,247
2025-06-13,Breakfast,C,Rice,3.31,2.0,6.62,Friday,4,0,6,13,164,26.5,5.1,0,0,219,192,245,186,59,24.08,284
2025-06-13,Breakfast,C,Soup,4.85,1.5,7.28,Friday,4,0,6,13,164,26.5,5.1,0,0,217,229,240,207,33,13.75,248
2025-06-13,Breakfast,C,Vegetables,2.4,3.0,7.2,Friday,4,0,6,13,164,26.5,5.1,0,0,229,229,261,211,50,19.16,226
2025-06-13,Breakfast,D,Meat,3.49,8.0,27.92,Friday,4,0,6,13,164,26.5,5.1,0,0,250,254,269,247,22,8.18,264
2025-06-13,Breakfast,D,Rice,1.76,2.0,3.52,Friday,4,0,6,13,164,26.5,5.1,0,0,242,240,266,229,37,13.91,249
2025-06-13,Breakfast,D,Soup,4.27,1.5,6.4,Friday,4,0,6,13,164,26.5,5.1,0,0,243,249,274,222,52,18.98,222
2025-06-13,Breakfast,D,Vegetables,3.28,3.0,9.84,Friday,4,0,6,13,164,26.5,5.1,0,0,244,245,265,226,39,14.72,245
2025-06-13,Dinner,A,Meat,2.27,8.0,18.16,Friday,4,0,6,13,164,26.5,5.1,0,0,466,456,506,437,69,13.64,341
2025-06-13,Dinner,A,Rice,4.38,2.0,8.76,Friday,4,0,6,13,164,26.5,5.1,0,0,448,465,491,438,53,10.79,369
2025-06-13,Dinner,A,Soup,4.53,1.5,6.8,Friday,4,0,6,13,164,26.5,5.1,0,0,441,427,487,381,106,21.77,350
2025-06-13,Dinner,B,Meat,4.0,8.0,32.0,Friday,4,0,6,13,164,26.5,5.1,0,0,435,383,485,376,109,22.47,299
2025-06-13,Dinner,B,Rice,0.33,2.0,0.66,Friday,4,0,6,13,164,26.5,5.1,0,0,394,395,438,382,56,12.79,438
2025-06-13,Dinner,B,Soup,1.94,1.5,2.91,Friday,4,0,6,13,164,26.5,5.1,0,0,396,387,451,350,101,22.39,336
2025-06-13,Dinner,B,Vegetables,1.54,3.0,4.62,Friday,4,0,6,13,164,26.5,5.1,0,0,416,415,458,390,68,14.85,285
2025-06-13,Dinner,C,Meat,2.7,8.0,21.6,Friday,4,0,6,13,164,26.5,5.1,0,0,334,314,381,299,82,21.52,437
2025-06-13,Dinner,C,Rice,0.81,2.0,1.62,Friday,4,0,6,13,164,26.5,5.1,0,0,372,390,408,378,30,7.35,382
2025-06-13,Dinner,C,Soup,3.98,1.5,5.97,Friday,4,0,6,13,164,26.5,5.1,0,0,352,363,384,336,48,12.5,352
2025-06-13,Dinner,C,Vegetables,2.87,3.0,8.61,Friday,4,0,6,13,164,26.5,5.1,0,0,340,342,378,314,64,16.93,386
2025-06-13,Dinner,D,Meat,0.49,8.0,3.92,Friday,4,0,6,13,164,26.5,5.1,0,0,349,351,398,341,57,14.32,344
2025-06-13,Dinner,D,Rice,0.93,2.0,1.86,Friday,4,0,6,13,164,26.5,5.1,0,0,379,387,413,377,36,8.72,378
2025-06-13,Dinner,D,Soup,3.14,1.5,4.71,Friday,4,0,6,13,164,26.5,5.1,0,0,372,332,421,307,114,27.08,381
2025-06-13,Dinner,D,Vegetables,4.37,3.0,13.11,Friday,4,0,6,13,164,26.5,5.1,0,0,396,421,436,386,50,11.47,390
2025-06-13,Lunch,A,Meat,4.31,8.0,34.48,Friday,4,0,6,13,164,26.5,5.1,0,0,762,751,819,738,81,9.89,537
2025-06-13,Lunch,A,Rice,4.28,2.0,8.56,Friday,4,0,6,13,164,26.5,5.1,0,0,716,749,794,718,76,9.57,444
2025-06-13,Lunch,A,Soup,1.65,1.5,2.47,Friday,4,0,6,13,164,26.5,5.1,0,0,720,698,784,632,152,19.39,516
2025-06-13,Lunch,A,Vegetables,1.96,3.0,5.88,Friday,4,0,6,13,164,26.5,5.1,0,0,720,742,819,698,121,14.77,600
2025-06-13,Lunch,B,Meat,3.82,8.0,30.56,Friday,4,0,6,13,164,26.5,5.1,0,0,684,661,734,653,81,11.04,738
2025-06-13,Lunch,B,Rice,3.62,2.0,7.24,Friday,4,0,6,13,164,26.5,5.1,0,0,713,735,779,702,77,9.88,718
2025-06-13,Lunch,B,Soup,0.28,1.5,0.42,Friday,4,0,6,13,164,26.5,5.1,0,0,614,651,691,589,102,14.76,632
2025-06-13,Lunch,B,Vegetables,4.37,3.0,13.11,Friday,4,0,6,13,164,26.5,5.1,0,0,643,583,732,541,191,26.09,673
2025-06-13,Lunch,C,Meat,3.19,8.0,25.52,Friday,4,0,6,13,164,26.5,5.1,0,0,548,555,612,537,75,12.25,581
2025-06-13,Lunch,C,Rice,0.44,2.0,0.88,Friday,4,0,6,13,164,26.5,5.1,0,0,485,470,520,444,76,14.62,539
2025-06-13,Lunch,C,Soup,4.99,1.5,7.48,Friday,4,0,6,13,164,26.5,5.1,0,0,574,555,622,516,106,17.04,483
2025-06-13,Lunch,D,Meat,2.23,8.0,17.84,Friday,4,0,6,13,164,26.5,5.1,0,0,586,584,639,575,64,10.02,653
2025-06-13,Lunch,D,Rice,3.76,2.0,7.52,Friday,4,0,6,13,164,26.5,5.1,0,0,549,552,615,539,76,12.36,646
2025-06-13,Lunch,D,Soup,3.21,1.5,4.81,Friday,4,0,6,13,164,26.5,5.1,0,0,538,560,594,505,89,14.98,589
2025-06-13,Lunch,D,Vegetables,0.58,3.0,1.74,Friday,4,0,6,13,164,26.5,5.1,0,0,630,640,675,600,75,11.11,541
2025-06-14,Breakfast,A,Meat,4.57,8.0,36.56,Saturday,5,1,6,14,165,26.6,0.0,0,0,149,145,163,140,23,14.11,136
2025-06-14,Breakfast,A,Rice,1.28,2.0,2.56,Saturday,5,1,6,14,165,26.6,0.0,0,0,170,174,190,170,20,10.53,130
2025-06-14,Breakfast,A,Soup,2.36,1.5,3.54,Saturday,5,1,6,14,165,26.6,0.0,0,0,159,164,173,152,21,12.14,128
2025-06-14,Breakfast,B,Meat,1.35,8.0,10.8,Saturday,5,1,6,14,165,26.6,0.0,0,0,148,147,165,144,21,12.73,264
2025-06-14,Breakfast,B,Rice,1.34,2.0,2.68,Saturday,5,1,6,14,165,26.6,0.0,0,0,130,140,148,136,12,8.11,119
2025-06-14,Breakfast,B,Soup,4.04,1.5,6.06,Saturday,5,1,6,14,165,26.6,0.0,0,0,148,150,166,136,30,18.07,207
2025-06-14,Breakfast,B,Vegetables,0.15,3.0,0.45,Saturday,5,1,6,14,165,26.6,0.0,0,0,148,144,162,132,30,18.52,122
2025-06-14,Breakfast,C,Meat,3.42,8.0,27.36,Saturday,5,1,6,14,165,26.6,0.0,0,0,131,135,146,133,13,8.9,140
2025-06-14,Breakfast,C,Rice,4.52,2.0,9.04,Saturday,5,1,6,14,165,26.6,0.0,0,0,127,122,144,119,25,17.36,223
2025-06-14,Breakfast,C,Soup,2.26,1.5,3.39,Saturday,5,1,6,14,165,26.6,0.0,0,0,113,121,127,111,16,12.6,152
2025-06-14,Breakfast,C,Vegetables,0.87,3.0,2.61,Saturday,5,1,6,14,165,26.6,0.0,0,0,120,112,136,104,32,23.53,132
2025-06-14,Breakfast,D,Meat,2.98,8.0,23.84,Saturday,5,1,6,14,165,26.6,0.0,0,0,137,140,156,136,20,12.82,144
2025-06-14,Breakfast,D,Rice,1.79,2.0,3.58,Saturday,5,1,6,14,165,26.6,0.0,0,0,129,134,142,130,12,8.45,136
2025-06-14,Breakfast,D,Soup,2.18,1.5,3.27,Saturday,5,1,6,14,165,26.6,0.0,0,0,132,138,150,128,22,14.67,136
2025-06-14,Breakfast,D,Vegetables,3.23,3.0,9.69,Saturday,5,1,6,14,165,26.6,0.0,0,0,131,131,143,122,21,14.69,211
2025-06-14,Dinner,A,Meat,3.07,8.0,24.56,Saturday,5,1,6,14,165,26.6,0.0,0,0,250,252,269,249,20,7.43,376
2025-06-14,Dinner,A,Rice,0.34,2.0,0.68,Saturday,5,1,6,14,165,26.6,0.0,0,0,287,289,323,281,42,13.0,192
2025-06-14,Dinner,A,Soup,4.53,1.5,6.8,Saturday,5,1,6,14,165,26.6,0.0,0,0,244,238,264,212,52,19.7,307
2025-06-14,Dinner,A,Vegetables,2.53,3.0,7.59,Saturday,5,1,6,14,165,26.6,0.0,0,0,281,274,309,257,52,16.83,314
2025-06-14,Dinner,B,Meat,4.01,8.0,32.08,Saturday,5,1,6,14,165,26.6,0.0,0,0,216,210,244,205,39,15.98,174
2025-06-14,Dinner,B,Rice,1.5,2.0,3.0,Saturday,5,1,6,14,165,26.6,0.0,0,0,235,213,260,203,57,21.92,281
2025-06-14,Dinner,B,Soup,1.83,1.5,2.74,Saturday,5,1,6,14,165,26.6,0.0,0,0,232,230,253,207,46,18.18,212
2025-06-14,Dinner,B,Vegetables,3.07,3.0,9.21,Saturday,5,1,6,14,165,26.6,0.0,0,0,255,252,286,230,56,19.58,257
2025-06-14,Dinner,C,Meat,3.14,8.0,25.12,Saturday,5,1,6,14,165,26.6,0.0,0,0,192,181,219,174,45,20.55,249
2025-06-14,Dinner,C,Rice,3.22,2.0,6.44,Saturday,5,1,6,14,165,26.6,0.0,0,0,197,203,220,192,28,12.73,208
2025-06-14,Dinner,C,Soup,3.63,1.5,5.44,Saturday,5,1,6,14,165,26.6,0.0,0,0,187,180,207,162,45,21.74,169
2025-06-14,Dinner,D,Rice,3.33,2.0,6.66,Saturday,5,1,6,14,165,26.6,0.0,0,0,214,216,234,208,26,11.11,377
2025-06-14,Dinner,D,Soup,4.53,1.5,6.8,Saturday,5,1,6,14,165,26.6,0.0,0,0,210,188,227,169,58,25.55,207
2025-06-14,Dinner,D,Vegetables,3.18,3.0,9.54,Saturday,5,1,6,14,165,26.6,0.0,0,0,217,225,239,213,26,10.88,230
2025-06-14,Lunch,A,Soup,1.98,1.5,2.97,Saturday,5,1,6,14,165,26.6,0.0,0,0,370,335,407,302,105,25.8,287
2025-06-14,Lunch,A,Vegetables,1.08,3.0,3.24,Saturday,5,1,6,14,165,26.6,0.0,0,0,418,435,468,408,60,12.82,698
2025-06-14,Lunch,B,Meat,1.26,8.0,10.08,Saturday,5,1,6,14,165,26.6,0.0,0,0,370,375,409,360,49,11.98,273
2025-06-14,Lunch,B,Rice,2.47,2.0,4.94,Saturday,5,1,6,14,165,26.6,0.0,0,0,355,354,399,344,55,13.78,268
2025-06-14,Lunch,B,Soup,2.92,1.5,4.38,Saturday,5,1,6,14,165,26.6,0.0,0,0,370,370,412,336,76,18.45,256
2025-06-14,Lunch,B,Vegetables,2.9,3.0,8.7,Saturday,5,1,6,14,165,26.6,0.0,0,0,370,352,401,328,73,18.2,326
2025-06-14,Lunch,C,Meat,1.55,8.0,12.4,Saturday,5,1,6,14,165,26.6,0.0,0,0,282,278,307,273,34,11.07,352
2025-06-14,Lunch,C,Rice,4.96,2.0,9.92,Saturday,5,1,6,14,165,26.6,0.0,0,0,271,283,307,268,39,12.7,702
2025-06-14,Lunch,C,Soup,3.33,1.5,5.0,Saturday,5,1,6,14,165,26.6,0.0,0,0,278,282,312,256,56,17.95,302
2025-06-14,Lunch,C,Vegetables,4.89,3.0,14.67,Saturday,5,1,6,14,165,26.6,0.0,0,0,335,347,374,326,48,12.83,408
2025-06-14,Lunch,D,Meat,2.87,8.0,22.96,Saturday,5,1,6,14,165,26.6,0.0,0,0,363,359,390,352,38,9.74,575
2025-06-14,Lunch,D,Rice,1.44,2.0,2.88,Saturday,5,1,6,14,165,26.6,0.0,0,0,346,368,372,360,12,3.23,344
2025-06-14,Lunch,D,Soup,3.75,1.5,5.62,Saturday,5,1,6,14,165,26.6,0.0,0,0,327,309,372,287,85,22.85,505
2025-06-14,Lunch,D,Vegetables,3.46,3.0,10.38,Saturday,5,1,6,14,165,26.6,0.0,0,0,352,349,396,323,73,18.43,328
2025-06-15,Breakfast,A,Meat,1.61,8.0,12.88,Sunday,6,1,6,15,166,25.9,0.0,0,0,173,168,188,160,28,14.89,120
2025-06-15,Breakfast,A,Rice,3.27,2.0,6.54,Sunday,6,1,6,15,166,25.9,0.0,0,0,174,169,192,165,27,14.06,148
2025-06-15,Breakfast,A,Soup,2.94,1.5,4.41,Sunday,6,1,6,15,166,25.9,0.0,0,0,167,172,180,154,26,14.44,129
2025-06-15,Breakfast,A,Vegetables,2.26,3.0,6.78,Sunday,6,1,6,15,166,25.9,0.0,0,0,166,168,181,153,28,15.47,104
2025-06-15,Breakfast,B,Rice,3.69,2.0,7.38,Sunday,6,1,6,15,166,25.9,0.0,0,0,160,157,176,148,28,15.91,170
2025-06-15,Breakfast,B,Soup,3.76,1.5,5.64,Sunday,6,1,6,15,166,25.9,0.0,0,0,157,164,172,146,26,15.12,115
2025-06-15,Breakfast,B,Vegetables,1.55,3.0,4.65,Sunday,6,1,6,15,166,25.9,0.0,0,0,153,144,171,132,39,22.81,153
2025-06-15,Breakfast,C,Soup,4.86,1.5,7.29,Sunday,6,1,6,15,166,25.9,0.0,0,0,118,124,128,115,13,10.16,111
